gcp_full_path,gcp_project,gcp_dataset,gcp_table,created_date,last_modified_date,last_queried_date,row_count,size_bytes,num_columns,partitioned,partition_field,clustered,cluster_fields,description,labels
vz-data-prod-workspace-7.edw_modernized.customer_account_master,vz-data-prod-workspace-7,edw_modernized,customer_account_master,2025-06-15T10:00:00Z,2026-02-26T02:15:00Z,2026-02-26T08:30:00Z,48200000,12500000000,42,Yes,updated_date,Yes,customer_id;region,Primary customer account table with demographics and account status,env:prod;team:marketing-analytics;tier:gold
vz-data-prod-workspace-3.wireless_modernized.wireless_subscriber_detail,vz-data-prod-workspace-3,wireless_modernized,wireless_subscriber_detail,2025-04-20T14:00:00Z,2026-02-26T02:30:00Z,2026-02-26T09:15:00Z,112700000,28400000000,65,Yes,activation_date,Yes,subscriber_id;market,Wireless subscriber details including plan and device info,env:prod;team:wireless-engineering;tier:gold
vz-data-prod-workspace-5.finance_raw.billing_detail_raw,vz-data-prod-workspace-5,finance_raw,billing_detail_raw,2025-01-10T08:00:00Z,2026-02-26T05:00:00Z,2026-02-26T07:45:00Z,89000000,18200000000,38,Yes,billing_date,No,,Raw billing records - not yet modernized,env:prod;team:finance;tier:silver
vz-data-prod-workspace-4.prod_modernized.inventory_master,vz-data-prod-workspace-4,prod_modernized,inventory_master,2025-08-01T09:00:00Z,2026-02-26T03:00:00Z,2026-02-25T16:00:00Z,5600000,1200000000,28,Yes,updated_date,Yes,product_id;warehouse_id,Product inventory tracking across warehouses,env:prod;team:supply-chain;tier:gold
vz-data-prod-workspace-6.network_raw.network_events_stream,vz-data-prod-workspace-6,network_raw,network_events_stream,2025-03-01T00:00:00Z,2026-02-26T12:00:00Z,2026-02-26T11:58:00Z,500000000,95000000000,22,Yes,event_timestamp,Yes,event_type;cell_id,Real-time network event stream,env:prod;team:network-engineering;tier:platinum
vz-data-prod-workspace-7.sales_modernized.order_management_master,vz-data-prod-workspace-7,sales_modernized,order_management_master,2025-07-10T11:00:00Z,2026-02-26T03:30:00Z,2026-02-26T10:00:00Z,23400000,5800000000,35,Yes,order_date,Yes,customer_id;order_status,Full order lifecycle with status tracking,env:prod;team:sales-analytics;tier:gold
vz-data-prod-workspace-3.wireless_modernized.device_catalog,vz-data-prod-workspace-3,wireless_modernized,device_catalog,2025-05-22T15:00:00Z,2026-02-23T06:00:00Z,2026-02-25T14:30:00Z,1200000,280000000,24,No,,No,,Device metadata and specifications,env:prod;team:device;tier:silver
vz-data-prod-workspace-3.wireless_modernized.plan_features_detail,vz-data-prod-workspace-3,wireless_modernized,plan_features_detail,2025-09-01T10:00:00Z,2026-02-26T02:45:00Z,2026-02-26T09:00:00Z,8900000,1800000000,31,Yes,effective_date,Yes,plan_id,Plan and feature configuration details,env:prod;team:product;tier:gold
vz-data-prod-workspace-7.marketing_modernized.campaign_performance,vz-data-prod-workspace-7,marketing_modernized,campaign_performance,2025-03-15T13:00:00Z,2026-02-26T04:00:00Z,2026-02-26T08:00:00Z,4500000,950000000,27,Yes,campaign_date,Yes,campaign_id;channel,Campaign metrics and ROI tracking,env:prod;team:marketing-analytics;tier:gold
vz-data-prod-workspace-7.edw_modernized.dim_customer,vz-data-prod-workspace-7,edw_modernized,dim_customer,2025-01-10T09:00:00Z,2026-02-26T02:00:00Z,2026-02-26T11:30:00Z,2400000,620000000,36,No,,Yes,customer_id,Core customer dimension used by 14+ downstream reports,env:prod;team:data-engineering;tier:platinum
vz-data-prod-workspace-7.edw_modernized.fact_sales,vz-data-prod-workspace-7,edw_modernized,fact_sales,2025-02-05T08:00:00Z,2026-02-26T03:00:00Z,2026-02-26T10:45:00Z,156000000,38000000000,28,Yes,sale_date,Yes,customer_id;product_id,Daily sales transactions,env:prod;team:data-engineering;tier:platinum
vz-data-prod-workspace-7.edw_modernized.dim_product,vz-data-prod-workspace-7,edw_modernized,dim_product,2025-02-05T08:30:00Z,2026-02-26T03:00:00Z,2026-02-25T15:00:00Z,340000,72000000,22,No,,Yes,product_id;category,Product dimension with categories and attributes,env:prod;team:data-engineering;tier:gold
vz-data-prod-workspace-7.edw_modernized.dim_date,vz-data-prod-workspace-7,edw_modernized,dim_date,2024-12-01T06:00:00Z,2026-02-23T06:00:00Z,2026-02-26T11:00:00Z,36500,4500000,18,No,,No,,Date dimension with fiscal calendar attributes,env:prod;team:data-engineering;tier:gold
vz-data-prod-workspace-7.crm_modernized.customer_interaction_history,vz-data-prod-workspace-7,crm_modernized,customer_interaction_history,2025-10-15T10:00:00Z,2026-02-26T04:00:00Z,2026-02-26T09:30:00Z,67000000,14500000000,19,Yes,interaction_date,Yes,customer_id;channel,Customer touchpoint tracking across all channels,env:prod;team:crm;tier:gold
vz-data-prod-workspace-5.finance_modernized.payment_transaction_detail,vz-data-prod-workspace-5,finance_modernized,payment_transaction_detail,2025-11-01T09:00:00Z,2026-02-26T05:30:00Z,2026-02-26T08:15:00Z,95000000,22000000000,33,Yes,transaction_date,Yes,customer_id;payment_method,Payment processing with method and status,env:prod;team:finance;tier:gold
vz-data-prod-workspace-6.network_modernized.network_coverage_map,vz-data-prod-workspace-6,network_modernized,network_coverage_map,2025-07-20T12:00:00Z,2026-02-22T06:00:00Z,2026-02-25T10:00:00Z,8500000,2100000000,15,No,,Yes,region;technology,Network coverage by geography and technology type,env:prod;team:network-engineering;tier:silver
vz-data-prod-workspace-7.crm_modernized.service_ticket_master,vz-data-prod-workspace-7,crm_modernized,service_ticket_master,2025-08-15T11:00:00Z,2026-02-26T04:30:00Z,2026-02-26T09:00:00Z,12300000,2800000000,26,Yes,created_date,Yes,customer_id;ticket_status,Support ticket lifecycle tracking,env:prod;team:crm;tier:gold
vz-data-prod-workspace-5.finance_modernized.revenue_summary_daily,vz-data-prod-workspace-5,finance_modernized,revenue_summary_daily,2025-12-01T08:00:00Z,2026-02-26T06:00:00Z,2026-02-26T10:30:00Z,730,180000,12,Yes,report_date,No,,Daily aggregated revenue summary view,env:prod;team:finance;tier:platinum
vz-data-prod-workspace-7.ml_models.churn_prediction_scores,vz-data-prod-workspace-7,ml_models,churn_prediction_scores,2025-09-20T14:00:00Z,2026-02-26T07:00:00Z,2026-02-26T08:45:00Z,2400000,480000000,8,No,,Yes,customer_id,Daily ML churn prediction scores,env:prod;team:data-science;tier:gold
